,id,amc_mutual_fund,mutual_fund_name,nav,nav_upload_date_time,timestamp
0,0,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth,361.7649,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
1,1,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,365.1063,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
2,2,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.2137,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
3,3,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,100.2141,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
4,4,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,198.2239,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
5,5,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,100.2441,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
6,6,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.044,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
7,7,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,108.0948,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
8,8,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,151.3722,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
9,9,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.7249,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
10,10,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2441,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
11,11,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,243.3333,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
12,12,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),602.4534,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
13,13,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),587.0682,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
14,14,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Monthly Payout of IDCW,1000.2108,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
15,15,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW,1000.2001,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
16,16,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option,1000.2079,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
17,17,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,1000.2107,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
18,18,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,1000.208,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
19,19,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,1000.2077,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
20,20,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1218.7504,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
21,21,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,1212.2698,29-Apr-2023 17:48:02,2023-05-01 17:57:44.066831
22,22,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Daily IDCW,1000.9560,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
23,23,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Growth Option,2514.7972,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
24,24,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Monthly IDCW,1001.3712,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
25,25,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Weekly IDCW,1002.9155,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
26,26,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Daily IDCW,1001.3998,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
27,27,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Growth Option,2497.8297,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
28,28,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Monthly IDCW,1001.9541,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
29,29,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Weekly IDCW,1002.9057,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
30,30,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Daily IDCW,1000.9559,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
31,31,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Growth Option,2312.1750,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
32,32,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Monthly IDCW,1001.3133,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
33,33,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Weekly IDCW,1001.4283,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
34,34,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Daily IDCW,1000.5073,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
35,35,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Growth Option,1191.7476,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
36,36,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Monthly IDCW,1001.5775,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
37,37,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Weekly IDCW,1001.6168,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
38,38,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Daily IDCW,1000.5032,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
39,39,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Growth Option,1188.8273,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
40,40,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Monthly IDCW,1001.5627,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
41,41,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Weekly IDCW,1001.5785,29-Apr-2023 19:34:08,2023-05-01 17:57:44.066831
42,42,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,1001.2705,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
43,43,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Growth,2715.1197,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
44,44,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,1000.6643,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
45,45,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,1172.2314,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
46,46,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,1001.2733,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
47,47,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,1.4561,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
48,48,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,1.0000,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
49,49,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,1.4561,29-Apr-2023 18:43:03,2023-05-01 17:57:44.066831
