</table,,,,
Latest Net Asset Values,,,,
Scheme NAV Name,ISIN Div Payout,ISIN Div,Net Asset Value,Date
,/ ISIN Growth,Reinvestment,,
Open Ended Schemes (Debt Scheme - Banking and PSU Fund),,,,
Aditya Birla Sun Life Mutual Fund,,,,
Aditya Birla Sun Life Banking & PSU Debt Fund- DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,110.3887,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- DIRECT - MONTHLY IDCW,INF209K01YM2,,113.8611,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct - Quarterly IDCW,INF209K01YO8,,111.3111,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - IDCW,INF209K01LX6,INF209KA11Z3,156.2795,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - MONTHLY IDCW,INF209K01LU2,,110.6432,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - Quarterly IDCW,INF209K01LN7,,108.2744,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- retail - monthly IDCW,INF209K01LR8,,110.5029,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- retail - quarterly IDCW,INF209K01LS6,,111.0282,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,,309.3322,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,,464.3473,31-Mar-2023
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,,318.5907,31-Mar-2023
Axis Mutual Fund,,,,
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,INF846K01NF8,,1532.8272,14-Jun-2017
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,,INF846K01CU0,1039.131,31-Mar-2023
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,,2288.5724,31-Mar-2023
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CT2,INF846K01CS4,1034.6201,31-Mar-2023
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CV8,INF846K01CW6,1040.0135,31-Mar-2023
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,INF846K01NG6,,1289.4075,18-May-2015
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,,INF846K01CC8,1039.1303,31-Mar-2023
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,,2233.5915,31-Mar-2023
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CF1,INF846K01CG9,1034.5785,31-Mar-2023
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CD6,INF846K01CE4,1039.9782,31-Mar-2023
Bandhan Mutual Fund,,,,
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,INF194K019M8,,11.9104,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,,INF194KA1JD3,10.4768,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,,INF194K010N5,10.4783,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct Growth,INF194K015G8,,21.3529,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct IDCW,INF194K016G6,INF194K017G4,11.2328,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,,INF194K011N3,10.4324,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,INF194K018M0,,10.7002,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,INF194K015M6,,10.9867,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,,INF194KA1JC5,10.8788,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,,INF194K016M4,10.6344,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Growth,INF194K01SN6,,20.8893,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular IDCW,INF194K01SO4,INF194K012D2,11.2801,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,,INF194K017M2,10.6765,31-Mar-2023
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,INF194K014M9,,10.6132,31-Mar-2023
Baroda BNP Paribas Mutual Fund,,,,
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,INF955L01KF1,INF955L01KG9,10.1165,31-Mar-2023
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,INF955L01KC8,,10.8048,31-Mar-2023
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,INF955L01KD6,INF955L01KE4,10.1927,31-Mar-2023
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,INF955L01JX6,,10.7032,31-Mar-2023
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,INF955L01KA2,INF955L01KB0,10.0892,31-Mar-2023
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,INF955L01JY4,INF955L01JZ1,10.0977,31-Mar-2023
Canara Robeco Mutual Fund,,,,
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,,10.3128,31-Mar-2023
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,INF760K01KE0,INF760K01KD2,10.3127,31-Mar-2023
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,,10.2939,31-Mar-2023
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),INF760K01KH3,INF760K01KG5,10.2939,31-Mar-2023
DSP Mutual Fund,,,,
DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,,20.8225,31-Mar-2023
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,INF740K01A18,INF740K01A26,10.1969,31-Mar-2023
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,,INF740KA1OF7,10.16,31-Mar-2023
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,INF740K01ZX0,INF740K01ZY8,10.2164,31-Mar-2023
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,INF740K01ZZ5,INF740K01A00,10.1962,31-Mar-2023
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,INF740KA1OG5,INF740KA1OH3,10.16,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,,20.2306,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,INF740K01ZU6,INF740K01ZV4,10.196,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,,INF740KA1OI1,10.16,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,INF740K01ZQ4,INF740K01ZR2,10.2103,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,INF740K01ZS0,INF740K01ZT8,10.1955,31-Mar-2023
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,INF740KA1OJ9,INF740KA1OK7,10.16,31-Mar-2023
Edelweiss Mutual Fund,,,,
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,,21.3521,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,INF843K01FD6,INF843K01FE4,18.2577,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,INF843K01FG9,,14.5842,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,INF843K01FI5,INF843K01FH7,10.9327,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,INF843K01FF1,,10.5663,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,,20.7503,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,INF843K01FL9,INF843K01FM7,17.6692,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,INF843K01FO3,,14.2056,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,INF843K01FQ8,INF843K01FP0,11.1782,31-Mar-2023
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,INF843K01FN5,,10.1623,31-Mar-2023
Franklin Templeton Mutual Fund,,,,
Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,,19.6828,31-Mar-2023
Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,,18.9814,31-Mar-2023
Franklin India Banking and PSU Debt Fund - Direct - IDCW,INF090I01KS6,INF090I01KT4,10.7656,31-Mar-2023
Franklin India Banking and PSU Debt Fund - IDCW,INF090I01KP2,INF090I01KQ0,10.2535,31-Mar-2023
HDFC Mutual Fund,,,,
HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,,19.4009,31-Mar-2023
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,,20.0223,31-Mar-2023
HDFC Banking and PSU Debt Fund - IDCW Option,INF179KA1JD2,INF179KA1JE0,10.1586,31-Mar-2023
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,INF179KA1JA8,INF179KA1JB6,10.049,31-Mar-2023
HSBC Mutual Fund,,,,
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,,INF917K01HL7,11.1907,31-Mar-2023
HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,,21.5296,31-Mar-2023
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,INF917K01HJ1,INF917K01HI3,11.2734,31-Mar-2023
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,,INF917K01HK9,10.3657,31-Mar-2023
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,,INF677K01AF4,11.116,31-Mar-2023
