id,snapshot_id,instrument_id,security_name,isin,sector,asset_class,quantity,market_value,market_value_currency,percentage_to_nav,coupon,maturity_date,rating,metadata_json,created_at
4ead7a6a-f74f-4596-a727-10df784d16d7,dcf0a87e-d85b-4a7d-908b-f096a8532005,06f07fa5-d040-40e9-907e-43c5251aa3af,Benchmark Riskometer: CRISIL Short Duration Fund A-II Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
79bb4ad6-2abc-441c-8739-f4d3bd4c9f6e,28b94171-7504-450a-a21a-c461e2063bb1,a475920a-4a19-4d18-9361-edb9d861750d,Benchmark Riskometer: CRISIL Dynamic Bond Fund B-III Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
51c48373-4cb9-499a-ab1c-34f61334a95a,9e677dec-6abf-4546-b55a-094e76b9fb18,26edd5f1-0439-42b4-af69-b2b51544e620,Benchmark Riskometer: CRISIL Medium Duration Fund B-III Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
461c2428-d4f4-4de2-a4f0-c785980ee057,9e677dec-6abf-4546-b55a-094e76b9fb18,1fd8ae09-5857-4a90-9faa-8d78de7d6c47,BOND & NCD's,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
d3b60ff7-b9d3-46c2-9c62-02e99564a11f,576d2fff-17f2-47c3-99b9-f157e45032ea,01c19d50-de44-49b9-8b96-9f1ded5fbab6,"As on April 30,2023, the aggregate investments by the schemes of DSP Mutual Fund in DSP Savings Fund is Rs. 16,059.97 Lakhs.",,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
2527e3f3-78df-4a03-bbfc-c5e371a0eebf,576d2fff-17f2-47c3-99b9-f157e45032ea,e959c2ac-47eb-4dd9-afda-488722b8ad97,Benchmark Riskometer: CRISIL Money Market Fund B-I Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
6e98f093-55a3-4712-9983-c30a925edbd0,576d2fff-17f2-47c3-99b9-f157e45032ea,01755f60-6483-42d3-994e-465ce4a1ce8f,Cash & Cash Equivalent,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
4192e2ce-fb24-462a-a92b-fb22502277f5,b04e2240-e78a-4780-ae55-0f23beee477d,e617dc6e-a5dd-4c59-8e18-d362dc906c91,Benchmark Riskometer: CRISIL Corporate Bond Fund B-III Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
23946954-a381-4d22-b406-76b00a2741f2,dd454cb2-6c59-4c6c-b8ae-adb8afb44272,42c92b5d-87b9-473a-885c-5bb11f0eeafa,Benchmark Riskometer: CRISIL Medium Duration Fund A-III Index,,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
dbcaa6c1-e77c-4626-8e9f-393f96606488,7c4ff121-f509-442e-a480-ed60df291673,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Limited/Fund Parent,INF0RQ622028,,,20285.9,2424.12,INR,0.24,,,,{},2026-08-21 22:42:56.887115+00:00
c646b252-54e9-4771-a141-45ca203da805,7bdc74e4-1c46-4b35-adac-7ae88c215ea9,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,28649.202,2993.98,INR,0.13,,,,{},2026-08-21 22:42:32.142347+00:00
f04ce816-0b27-48bf-9df5-f85af4840f4b,db8ef9aa-f728-40d9-9574-ce438e666623,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,6679.76,698.07,INR,0.22,,,,{},2026-08-21 22:42:32.142347+00:00
97876c5e-fc69-446d-b059-3dfc0c2100c4,d8ee8e24-6db6-4ad5-9bf4-2099a44c8d7a,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,585.071,61.14,INR,0.32,,,,{},2026-08-21 22:42:32.142347+00:00
e54dee1e-d217-4a13-badb-1ac9fd573597,44d4e385-ea26-471b-911d-398334943357,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,11092.618,1159.23,INR,0.2,,,,{},2026-08-21 22:42:32.142347+00:00
2465118e-e66c-44ae-b824-318d7526b977,79c15fb7-f45b-4d33-a0bb-064626e7d023,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,7606.106,794.87,INR,0.28,,,,{},2026-08-21 22:42:32.142347+00:00
8156e525-3fb5-4273-8711-759b65c20920,02c7555d-455b-4a48-a466-2e4af6fd6de2,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,2397.625,250.56,INR,0.14,,,,{},2026-08-21 22:42:32.142347+00:00
6582033c-faa5-48b7-8581-c17a294e6ab3,de7a32be-9b9f-4739-86bb-39a8c00ba809,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,948.296,99.1,INR,0.26,,,,{},2026-08-21 22:42:32.142347+00:00
5454d138-e763-4f3f-9a55-71d81b68d900,7d37e20b-daca-4597-b22e-d1e067277791,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,11892.01,1242.77,INR,0.3,,,,{},2026-08-21 22:42:32.142347+00:00
0b46e232-2a59-4ea2-923d-53c968597dce,c3d3980c-58ce-44b0-8a87-d5d1ef972e16,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,501.975,52.46,INR,0.28,,,,{},2026-08-21 22:42:32.142347+00:00
c886ccf5-cbf9-4d2b-a4e8-70662a68fe9d,fcb97c57-a6d8-45b7-854d-89bf5a4ba6ac,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,6618.369,691.65,INR,0.28,,,,{},2026-08-21 22:42:32.142347+00:00
62525b87-2e60-45aa-b35b-f1cbcc11be7e,1937445a-337f-45db-8db9-3b971b3d9fa1,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,6269.987,655.24,INR,0.21,,,,{},2026-08-21 22:42:32.142347+00:00
6de0cf62-224d-4dad-8495-7c496c321f8e,89c37d06-432d-4d0c-b19f-a0a234a03985,7d4319bb-5720-48d8-90f3-08c984fecd89,SBI Funds Management Pvt Ltd/Fund Parent,INF0RQ622028,,,2979.151,311.34,INR,0.43,,,,{},2026-08-21 22:42:32.142347+00:00
7d3610b5-6581-48f7-95f4-c834cd3e9292,dcf0a87e-d85b-4a7d-908b-f096a8532005,cbb5e1eb-bc8d-4ddd-9195-fe8ac530a118,Scheme Name:,DSP Short Term Fund,,,,,INR,,,,,{},2026-08-21 22:28:08.968230+00:00
10b00485-ac9a-42cf-8c39-8bfdf9e5ba54,bc418993-50c7-47b5-93a7-a1359f771a52,02022e13-3123-45d5-9172-cfeb6da87dbc,TREPS-22092025,IDIA00309679,,,,3102774507.7,INR,1.09510241254143,,,,{},2026-08-21 22:47:24.159087+00:00
23df9c1c-4954-4bf1-8587-d421e7b7c881,2a75f158-db91-49d5-bd31-ee94991557fc,392b70af-917e-4818-860c-aceedef34b2a,TREPS-17012022,IDIA00267253,,,,2134500000.0,INR,2.252059154800973,,,,{},2026-08-21 22:47:26.374169+00:00
b6cfec32-2b14-435d-89a3-a6010507b4ff,fbf22e23-d0d3-40b1-bca7-8ef0a0e58697,392b70af-917e-4818-860c-aceedef34b2a,TREPS-17012022,IDIA00267253,,,,216300000.0,INR,0.14083752604963615,,,,{},2026-08-21 22:47:26.374169+00:00
