id,snapshot_id,instrument_id,security_name,isin,sector,asset_class,quantity,market_value,market_value_currency,percentage_to_nav,coupon,maturity_date,rating,metadata_json,created_at
7059d676-45ab-4689-a810-3da470731c7a,e52aceb7-9bc0-403c-a7ee-524034694c23,248b6252-4a85-45ee-af45-247c5728e884,Bajaj Holdings & Investment Ltd.,INE118A01012,,,3017366.0,163904.83,INR,8.22,,,,{},2026-08-22 01:59:29.130064+00:00
3aeb4d25-fce4-4810-b9d7-a46700a580c6,e52aceb7-9bc0-403c-a7ee-524034694c23,1db92b58-f621-49fd-af40-93e5d4cf9f49,Indian Energy Exchange Ltd.,INE022Q01020,,,44206584.0,111754.24,INR,5.61,,,,{},2026-08-22 01:59:29.130064+00:00
b7583609-529b-480c-8bdd-f8e14c066c38,e52aceb7-9bc0-403c-a7ee-524034694c23,231e0123-2eea-4376-a4eb-671bc54bddd4,HCL Technologies Ltd.,INE860A01027,,,8182285.0,107932.52,INR,5.41,,,,{},2026-08-22 01:59:29.130064+00:00
b133f640-867c-40e6-9b9c-1dd8adcb79ca,e52aceb7-9bc0-403c-a7ee-524034694c23,be48bb85-2bc1-4023-b0eb-8cf28d927c36,ICICI Bank Ltd.,INE090A01021,,,13540614.0,100220.85,INR,5.03,,,,{},2026-08-22 01:59:29.130064+00:00
a34fe878-6a06-476c-aeaa-f6519dea9f39,e52aceb7-9bc0-403c-a7ee-524034694c23,231285df-b7c8-4c91-8e44-ef0e66f2f6c1,Axis Bank Ltd.,INE238A01034,,,14689094.0,99672.85,INR,5.0,,,,{},2026-08-22 01:59:29.130064+00:00
a5102396-f73b-4b6b-9229-a36dc4161ca3,e52aceb7-9bc0-403c-a7ee-524034694c23,07ca72e3-e972-49d4-844b-f4117f49d4df,Hero MotoCorp Ltd.,INE158A01026,,,3968078.0,97698.05,INR,4.9,,,,{},2026-08-22 01:59:29.130064+00:00
4b0a464f-dd34-43ad-a225-8e3bc5f7935f,e52aceb7-9bc0-403c-a7ee-524034694c23,7127388c-2c51-42d7-aa30-658d1aad2062,Central Depository Services (I) Ltd.,INE736A01011,,,4799727.0,71986.31,INR,3.61,,,,{},2026-08-22 01:59:29.130064+00:00
7fe274e2-0697-4e16-9388-6705060ec2c3,e52aceb7-9bc0-403c-a7ee-524034694c23,d13b1d0d-baec-4587-aa59-81ead10da6ec,HDFC Bank Ltd.,INE040A01034,,,4312844.0,63804.21,INR,3.2,,,,{},2026-08-22 01:59:29.130064+00:00
83f70e97-08d3-412a-8567-4ef267631b28,e52aceb7-9bc0-403c-a7ee-524034694c23,ea086590-8412-4784-9b78-ce4731a7ef28,Multi Commodity Exchange of India Ltd.,INE745G01035,,,2492885.0,39457.38,INR,1.98,,,,{},2026-08-22 01:59:29.130064+00:00
28c1468b-e926-4d30-b848-b10dab8755c1,e52aceb7-9bc0-403c-a7ee-524034694c23,5445fb91-a558-4b77-848c-65d26c4d7361,Balkrishna Industries Ltd.,INE787D01026,,,1226855.0,28504.75,INR,1.43,,,,{},2026-08-22 01:59:29.130064+00:00
