,AMC Fund Company,Mutual Fund Name,NAV Value,NAV Record Timestamp
0,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth,360.3344,07-Apr-2023 18:45:25
1,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,363.6347,07-Apr-2023 18:45:25
2,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.2146,07-Apr-2023 18:45:25
3,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,100.2149,07-Apr-2023 18:45:25
4,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,197.425,07-Apr-2023 18:45:25
5,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,100.3773,07-Apr-2023 18:45:25
6,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.0461,07-Apr-2023 18:45:25
7,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,108.2296,07-Apr-2023 18:45:25
8,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,150.7736,07-Apr-2023 18:45:25
9,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.7267,07-Apr-2023 18:45:25
10,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.3748,07-Apr-2023 18:45:25
11,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,242.2495,07-Apr-2023 18:45:25
12,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),600.0709,07-Apr-2023 18:45:25
13,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),584.7466,07-Apr-2023 18:45:25
14,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Monthly Payout of IDCW,1001.2953,07-Apr-2023 18:45:25
15,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW,1001.314,07-Apr-2023 18:45:25
16,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option,1001.2762,07-Apr-2023 18:45:25
17,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,1000.1974,07-Apr-2023 18:45:25
18,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,1000.1949,07-Apr-2023 18:45:25
19,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,1001.2758,07-Apr-2023 18:45:25
20,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1213.9923,07-Apr-2023 18:45:25
21,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,1207.6095,07-Apr-2023 18:45:25
22,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Daily IDCW,1000.9560,07-Apr-2023 16:21:41
23,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Growth Option,2504.8230,07-Apr-2023 16:21:41
24,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Monthly IDCW,1003.6224,07-Apr-2023 16:21:41
25,Axis Mutual Fund,Axis Liquid Fund - Direct Plan - Weekly IDCW,1002.9878,07-Apr-2023 16:21:41
26,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Daily IDCW,1001.3998,07-Apr-2023 16:21:41
27,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Growth Option,2488.0303,07-Apr-2023 16:21:41
28,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Monthly IDCW,1004.1929,07-Apr-2023 16:21:41
29,Axis Mutual Fund,Axis Liquid Fund - Regular Plan - Weekly IDCW,1002.9797,07-Apr-2023 16:21:41
30,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Daily IDCW,1000.9559,07-Apr-2023 16:21:41
31,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Growth Option,2303.7962,07-Apr-2023 16:21:41
32,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Monthly IDCW,1003.4604,07-Apr-2023 16:21:41
33,Axis Mutual Fund,Axis Liquid Fund - Retail Plan - Weekly IDCW,1001.5155,07-Apr-2023 16:21:41
34,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Daily IDCW,1000.5073,07-Apr-2023 16:21:41
35,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Growth Option,1187.0746,07-Apr-2023 16:21:41
36,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Monthly IDCW,1002.8854,07-Apr-2023 16:21:41
37,Axis Mutual Fund,Axis Overnight Fund - Direct Plan - Weekly IDCW,1001.4076,07-Apr-2023 16:21:41
38,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Daily IDCW,1000.5032,07-Apr-2023 16:21:41
39,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Growth Option,1184.2084,07-Apr-2023 16:21:41
40,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Monthly IDCW,1002.8641,07-Apr-2023 16:21:41
41,Axis Mutual Fund,Axis Overnight Fund - Regular Plan - Weekly IDCW,1001.3687,07-Apr-2023 16:21:41
42,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,1001.2647,07-Apr-2023 13:03:38
43,Bandhan Mutual Fund,BANDHAN LIQUID Fund - Regular Plan - Growth,2704.7014,07-Apr-2023 13:03:38
