,View all NAVs for all Schemes on 2023-Apr-07,View all NAVs for all Schemes on 2023-Apr-07,View all NAVs for all Schemes on 2023-Apr-07,View all NAVs for all Schemes on 2023-Apr-07
,Net Asset Value,Repurchase Price,Sale Price,NAV Upload date time
,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund
,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life Liquid Fund
0,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Liquid Fund - Growth
1,360.3344,,,07-Apr-2023 18:45:25
2,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan
3,363.6347,,,07-Apr-2023 18:45:25
4,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Liquid Fund -Daily IDCW
5,100.2146,,,07-Apr-2023 18:45:25
6,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW
7,100.2149,,,07-Apr-2023 18:45:25
8,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW
9,197.425,,,07-Apr-2023 18:45:25
10,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW
11,100.3773,,,07-Apr-2023 18:45:25
12,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW
13,108.0461,,,07-Apr-2023 18:45:25
14,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW
15,108.2296,,,07-Apr-2023 18:45:25
16,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,Aditya Birla Sun Life Liquid Fund -Regular - IDCW
17,150.7736,,,07-Apr-2023 18:45:25
18,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Liquid Fund -Retail - IDCW
