nse_symbol,company_name,screener_slug,screener_name
360ONE,360 ONE WAM Ltd.,360ONE,360 ONE WAM Ltd
3MINDIA,3M India Ltd.,3MINDIA,3M India Ltd
ABB,ABB India Ltd.,ABB,ABB India Ltd
ACC,ACC Ltd.,ACC,ACC Ltd
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR,ACME Solar Holdings Ltd
AIAENG,AIA Engineering Ltd.,AIAENG,AIA Engineering Ltd
APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO,APL Apollo Tubes Ltd
AUBANK,AU Small Finance Bank Ltd.,AUBANK,AU Small Finance Bank Ltd
AWL,AWL Agri Business Ltd.,AWL,AWL Agri Business Ltd
AADHARHFC,Aadhar Housing Finance Ltd.,AADHARHFC,Aadhar Housing Finance Ltd
AARTIIND,Aarti Industries Ltd.,AARTIIND,Aarti Industries Ltd
AAVAS,Aavas Financiers Ltd.,AAVAS,AAVAS Financiers Ltd
ABBOTINDIA,Abbott India Ltd.,ABBOTINDIA,Abbott India Ltd
ACE,Action Construction Equipment Ltd.,ACE,Action Construction Equipment Ltd
ACUTAAS,Acutaas Chemicals Ltd.,ACUTAAS,Acutaas Chemicals Ltd
ADANIENSOL,Adani Energy Solutions Ltd.,ADANIENSOL,Adani Energy Solutions Ltd
ADANIENT,Adani Enterprises Ltd.,ADANIENT,Adani Enterprises Ltd
ADANIGREEN,Adani Green Energy Ltd.,ADANIGREEN,Adani Green Energy Ltd
ADANIPOWER,Adani Power Ltd.,ADANIPOWER,Adani Power Ltd
ATGL,Adani Total Gas Ltd.,ATGL,Adani Total Gas Ltd
ABCAPITAL,Aditya Birla Capital Ltd.,ABCAPITAL,Aditya Birla Capital Ltd
ABLBL,Aditya Birla Lifestyle Brands Ltd.,ABLBL,Aditya Birla Lifestyle Brands Ltd
ABREL,Aditya Birla Real Estate Ltd.,ABREL,Aditya Birla Real Estate Ltd
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Aditya Birla Sun Life AMC Ltd
CPPLUS,Aditya Infotech Ltd.,CPPLUS,Aditya Infotech Ltd
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK,Aegis Vopak Terminals Ltd
AFCONS,Afcons Infrastructure Ltd.,AFCONS,Afcons Infrastructure Ltd
AFFLE,Affle 3i Ltd.,AFFLE,Affle 3i Ltd
ALKEM,Alkem Laboratories Ltd.,ALKEM,Alkem Laboratories Ltd
ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M,Amara Raja Energy & Mobility Ltd
AMBER,Amber Enterprises India Ltd.,AMBER,Amber Enterprises India Ltd
AMBUJACEM,Ambuja Cements Ltd.,AMBUJACEM,Ambuja Cements Ltd
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI,Anand Rathi Wealth Ltd
ANANTRAJ,Anant Raj Ltd.,ANANTRAJ,Anant Raj Ltd
ANGELONE,Angel One Ltd.,ANGELONE,Angel One Ltd
ANTHEM,Anthem Biosciences Ltd.,ANTHEM,Anthem Biosciences Ltd
ANURAS,Anupam Rasayan India Ltd.,ANURAS,Anupam Rasayan India Ltd
APARINDS,Apar Industries Ltd.,APARINDS,Apar Industries Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Apollo Hospitals Enterprise Ltd
APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE,Apollo Tyres Ltd
APTUS,Aptus Value Housing Finance India Ltd.,APTUS,Aptus Value Housing Finance India Ltd
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA,Asahi India Glass Ltd
ASHOKLEY,Ashok Leyland Ltd.,ASHOKLEY,Ashok Leyland Ltd
ASIANPAINT,Asian Paints Ltd.,ASIANPAINT,Asian Paints Ltd
ASTERDM,Aster DM Quality Care Ltd.,ASTERDM,Aster DM Quality Care Ltd
ASTRAL,Astral Ltd.,ASTRAL,Astral Ltd
ATHERENERG,Ather Energy Ltd.,ATHERENERG,Ather Energy Ltd
ATUL,Atul Ltd.,ATUL,Atul Ltd
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA,Aurobindo Pharma Ltd
AIIL,Authum Investment & Infrastructure Ltd.,AIIL,Authum Investment & Infrastructure Ltd
DMART,Avenue Supermarts Ltd.,DMART,Avenue Supermarts Ltd
AXISBANK,Axis Bank Ltd.,AXISBANK,Axis Bank Ltd
BEML,BEML Ltd.,BEML,BEML Ltd
BLS,BLS International Services Ltd.,BLS,BLS International Services Ltd
BSE,BSE Ltd.,BSE,BSE Ltd
BAJAJ-AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO,Bajaj Auto Ltd
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finance Ltd
BAJAJFINSV,Bajaj Finserv Ltd.,BAJAJFINSV,Bajaj Finserv Ltd
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Bajaj Holdings & Investment Ltd
BAJAJHFL,Bajaj Housing Finance Ltd.,BAJAJHFL,Bajaj Housing Finance Ltd
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND,Balkrishna Industries Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd
BANDHANBNK,Bandhan Bank Ltd.,BANDHANBNK,Bandhan Bank Ltd
BANKBARODA,Bank of Baroda,BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India,BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra,MAHABANK,Bank of Maharashtra
BATAINDIA,Bata India Ltd.,BATAINDIA,Bata India Ltd
BAYERCROP,Bayer Cropscience Ltd.,BAYERCROP,Bayer CropScience Ltd
BELRISE,Belrise Industries Ltd.,BELRISE,Belrise Industries Ltd
BERGEPAINT,Berger Paints India Ltd.,BERGEPAINT,Berger Paints India Ltd
BDL,Bharat Dynamics Ltd.,BDL,Bharat Dynamics Ltd
BEL,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd
BHARATFORG,Bharat Forge Ltd.,BHARATFORG,Bharat Forge Ltd
BHEL,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd
BPCL,Bharat Petroleum Corporation Ltd.,BPCL,Bharat Petroleum Corporation Ltd
BHARTIARTL,Bharti Airtel Ltd.,BHARTIARTL,Bharti Airtel Ltd
BHARTIHEXA,Bharti Hexacom Ltd.,BHARTIHEXA,Bharti Hexacom Ltd
BIKAJI,Bikaji Foods International Ltd.,BIKAJI,Bikaji Foods International Ltd
GROWW,Billionbrains Garage Ventures Ltd.,GROWW,Billionbrains Garage Ventures Ltd
BIOCON,Biocon Ltd.,BIOCON,Biocon Ltd
BSOFT,Birlasoft Ltd.,BSOFT,Birlasoft Ltd
