company_name,nse_symbol,reason
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,no results
Aditya Birla Fashion and Retail Ltd.,ABFRL,no results
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,no results
Allied Blenders and Distillers Ltd.,ABDL,no results
CCL Products (I) Ltd.,CCL,no results
CG Power and Industrial Solutions Ltd.,CGPOWER,no results
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,no results
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,no results
Clean Science and Technology Ltd.,CLEAN,no results
Colgate Palmolive (India) Ltd.,COLPAL,no results
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,no results
Divi's Laboratories Ltd.,DIVISLAB,no results
Dr. Lal Path Labs Ltd.,LALPATHLAB,no results
Dr. Reddy's Laboratories Ltd.,DRREDDY,no results
E.I.D. Parry (India) Ltd.,EIDPARRY,no results
Elecon Engineering Co. Ltd.,ELECON,no results
Fertilisers and Chemicals Travancore Ltd.,FACT,no results
Great Eastern Shipping Co. Ltd.,GESHIP,no results
ICICI Prudential Asset Management Company Ltd.,ICICIAMC,no results
Indian Hotels Co. Ltd.,INDHOTEL,no results
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,no results
Jammu & Kashmir Bank Ltd.,J&KBANK,no results
Lloyds Metals And Energy Ltd.,LLOYDSME,no results
Mangalore Refinery & Petrochemicals Ltd.,MRPL,no results
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,no results
National Aluminium Co. Ltd.,NATIONALUM,no results
Oil & Natural Gas Corporation Ltd.,ONGC,no results
PI Industries Ltd.,PIIND,no results
RHI MAGNESITA INDIA LTD.,RHIM,no results
SBI Cards and Payment Services Ltd.,SBICARD,no results
Sarda Energy and Minerals Ltd.,SARDAEN,no results
Shyam Metalics and Energy Ltd.,SHYAMMETL,no results
Signatureglobal (India) Ltd.,SIGNATURE,no results
Star Health and Allied Insurance Company Ltd.,STARHEALTH,no results
The New India Assurance Company Ltd.,NIACL,no results
Transformers And Rectifiers (India) Ltd.,TARIL,no results
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,no results
Zensar Technolgies Ltd.,ZENSARTECH,no results
