id,alert_type,severity,dataset_type,amc_id,scheme_id,message,details_json,status,acknowledged_by,acknowledged_at,resolved_at,created_at
6a538b50-5e55-49ba-9939-07cc2dacbd06,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,4b79d7b6-ca96-4225-965f-f0e1a7993d18,Scheme DSP Credit Risk Fund has only 4.0% coverage for portfolio_disclosure,"{'coverage_pct': 4.0, 'expected': 50, 'stored': 2, 'missing': 48}",open,,,,2026-08-21 07:25:45.538642+00:00
94b0d071-3491-45fd-87cf-36e69756c09f,low_coverage,warning,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,f4e1e292-a37c-4f3e-a13f-f09314e76d01,Scheme dfltr has only 40.0% coverage for portfolio_disclosure,"{'coverage_pct': 40.0, 'expected': 5, 'stored': 2, 'missing': 3}",open,,,,2026-08-21 07:25:45.538642+00:00
bbfce006-a6c1-45e2-8c5d-c0f232ee770d,low_coverage,critical,nav_history,8502e977-c5f8-48fe-b700-13795fc8f567,a4f7a9f5-85eb-41dd-aecf-c9fb866fb8d5,Scheme ITI Overnight Fund has only 0.0% coverage for nav_history,"{'coverage_pct': 0.0, 'expected': 0, 'stored': 1, 'missing': -1}",open,,,,2026-08-21 20:56:43.369655+00:00
dc1910b6-275e-4875-9da4-a8e57bac90f1,low_coverage,critical,portfolio_disclosure,,bbe3ac16-ab74-40b4-a1b1-f0fd2ca0ea2a,Scheme Month_end_portfolio_disclosure_Sept2015/Factsheet_Open_ended_September2015 has only 1.5% coverage for portfolio_disclosure,"{'coverage_pct': 1.5, 'expected': 132, 'stored': 2, 'missing': 130}",open,,,,2026-08-21 21:37:29.948334+00:00
88a88bd5-7f90-431b-b6dc-f95b734d383a,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,39bd5974-4c82-4457-bfd8-bfead40cd71f,Scheme DSP Liquidity Fund has only 8.0% coverage for portfolio_disclosure,"{'coverage_pct': 8.0, 'expected': 25, 'stored': 2, 'missing': 23}",open,,,,2026-08-21 21:37:29.948334+00:00
2beae212-f755-48e9-9562-e3c82a8d0240,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,4c0b62ae-5310-4f78-9daf-9dc2c317b347,Scheme DSP Ultra Short Fund has only 8.0% coverage for portfolio_disclosure,"{'coverage_pct': 8.0, 'expected': 25, 'stored': 2, 'missing': 23}",open,,,,2026-08-21 21:37:29.948334+00:00
5159a115-e034-4c98-9667-649c7fbbb2ee,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,9f75a983-484e-45e0-9905-bf47dbfc8900,Scheme DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund has only 9.1% coverage for portfolio_disclosure,"{'coverage_pct': 9.1, 'expected': 33, 'stored': 3, 'missing': 30}",open,,,,2026-08-21 21:55:51.068366+00:00
b603bd86-ac45-4399-84ae-7e9ba9d0706c,low_coverage,critical,portfolio_disclosure,,f3839e55-9dd9-4e5a-815f-b9125c1200e8,Scheme FMP Series 270-1144D has only 9.1% coverage for portfolio_disclosure,"{'coverage_pct': 9.1, 'expected': 33, 'stored': 3, 'missing': 30}",open,,,,2026-08-21 21:55:51.068366+00:00
aef43cf7-e098-4971-96a8-9458dfde2f8e,low_coverage,critical,portfolio_disclosure,,6bf4afad-27c9-430a-9ddf-7f738f44369d,Scheme FMP Series 268-1281D has only 9.1% coverage for portfolio_disclosure,"{'coverage_pct': 9.1, 'expected': 33, 'stored': 3, 'missing': 30}",open,,,,2026-08-21 21:55:51.068366+00:00
9062569b-de42-48f6-b6d5-74ea8baf48fe,low_coverage,critical,portfolio_disclosure,,d3054566-387e-4c09-ae37-8f6734e2b928,Scheme FMP Series 267-1246D has only 9.1% coverage for portfolio_disclosure,"{'coverage_pct': 9.1, 'expected': 33, 'stored': 3, 'missing': 30}",open,,,,2026-08-21 21:55:51.068366+00:00
746951cd-8d74-4640-b0cc-e294d41c6e85,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,d7d97876-3f48-4125-a93c-5fadd10b4402,Scheme DSP Low Duration Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
33468828-7678-4117-9fea-ed79d75586d4,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,a5cbc07f-1e64-4817-8efe-bca3d4a64f5c,Scheme DSP Short Term Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
3114bf0a-9329-4f7e-8e41-4abb6e1da21c,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,711bb119-31de-44af-bb63-de60d060214f,Scheme DSP Strategic Bond Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
fa9badb5-d4f9-4333-9550-5bb697aec727,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,aa38dd68-4660-4a1b-b174-fd59e0c778fd,Scheme DSP Bond Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
182df84b-7383-464f-bf3e-1f65ba66a0d5,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,d63d2a0d-4ec8-49c9-8151-f219e714445f,Scheme DSP Savings Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
43f3a236-49ab-4e19-849d-38828b6b8df6,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,8b8a7181-1a62-463c-9637-38515e3a4973,Scheme DSP Regular Savings Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
c8c430db-c8ae-4e07-b1ad-cd1b3371602f,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,aa29e284-5e02-4951-ae02-ed98535dc61e,Scheme DSP Corporate Bond Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
e9159e1d-ddd9-4203-a4cc-d8a9ce19cb17,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,e3c71b64-92f1-4db4-a6f7-1c0008e69c4c,Scheme DSP 10Y G-Sec Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
2b05ca5e-04f0-427e-b6fd-e14153ad9530,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,bc6afebe-de89-4d43-a319-3a0352ead9be,Scheme DSP Overnight Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
31227ed6-12b1-47be-8412-afdf7703d6ce,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,7acbdaac-6b00-42f0-8aa5-b4ef1d6b484d,Scheme DSP Floater Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
715355f3-69fc-4ef1-9a29-100551973bef,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,75700a69-71bb-4ab4-b736-12846754c6fa,Scheme DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
6ee5235c-c8bf-4ade-8111-4c32f8d57b63,low_coverage,critical,portfolio_disclosure,,9c2c7293-3cb9-4dde-b834-220990d0fc56,Scheme SR 264 - 60M - 17D has only 9.5% coverage for portfolio_disclosure,"{'coverage_pct': 9.5, 'expected': 42, 'stored': 4, 'missing': 38}",open,,,,2026-08-21 21:55:51.068366+00:00
ad6193a9-2284-4fee-a02a-af26e53a4a33,low_coverage,critical,portfolio_disclosure,,646d8ef3-03fa-43e8-8dec-4f4eb638210c,Scheme DSP Government Securities Fund has only 20.0% coverage for portfolio_disclosure,"{'coverage_pct': 20.0, 'expected': 10, 'stored': 2, 'missing': 8}",open,,,,2026-08-21 21:55:51.068366+00:00
7eb2d72a-675e-4940-bc24-3f5ec7cfab2f,low_coverage,critical,portfolio_disclosure,1377ee4a-2e52-4e75-a930-8e166fc241dc,81fe35a5-74ea-4bf9-8e50-d1961c83f0b2,Scheme DSP Banking & PSU Debt Fund has only 20.0% coverage for portfolio_disclosure,"{'coverage_pct': 20.0, 'expected': 10, 'stored': 2, 'missing': 8}",open,,,,2026-08-21 21:55:51.068366+00:00
73a44aad-6782-4ebc-a13a-73d14b942131,low_coverage,warning,portfolio_disclosure,,7eab5f48-0f0f-48f8-87c3-4a9455454708,Scheme PPLF has only 28.6% coverage for portfolio_disclosure,"{'coverage_pct': 28.6, 'expected': 7, 'stored': 2, 'missing': 5}",open,,,,2026-08-21 21:55:51.068366+00:00
