id,amc_id,scheme_code,scheme_name,normalized_scheme_name,category,sub_category,scheme_type,benchmark,metadata_json,created_at,updated_at
ffaefeac-3471-45d5-9b6f-afecb46d1594,,,DSP ISIN DEBT Portfolio as on Jan 2024,dsp isin debt portfolio as on jan 2024,,,,,{},2026-08-21 21:14:08.114007+00:00,2026-08-21 21:14:08.114007+00:00
8e2309f6-64fc-45f0-87f8-52778c2d1c44,,,DSP Equity FOF ISIN Portfolio as on Jan 2024,dsp equity fof isin portfolio as on jan 2024,,,,,{},2026-08-21 21:14:08.114007+00:00,2026-08-21 21:14:08.114007+00:00
ba387939-3110-433d-b6b9-c37b33929d6b,,,DSP Equity FOF & Liquid ETF ISIN Portfolio as on May 2023,dsp equity fof liquid etf isin portfolio as on may 2023,,,,,{},2026-08-21 21:14:11.807996+00:00,2026-08-21 21:14:11.807996+00:00
8165cdd5-5448-4051-bc90-a67f523731d5,,,DSP ISIN DEBT Portfolio as on May 2023,dsp isin debt portfolio as on may 2023,,,,,{},2026-08-21 21:14:11.807996+00:00,2026-08-21 21:14:11.807996+00:00
d2873dad-e4f1-400d-b1af-6a584ca36850,,,"Month_end_portfolio_disclosure_March 2014/DSPBRMF Close_Ended Portfolio as on_Mar 31, 2014",month end portfolio disclosure march 2014 dspbrmf close ended portfolio as on mar 31 2014,,,,,{},2026-08-21 21:14:14.563491+00:00,2026-08-21 21:14:14.563491+00:00
c3792802-13eb-4cef-9282-c8902cdf76c3,,,"Month_end_portfolio_disclosure_March 2014/DSPBRMF Portfolios as on Mar 31, 2014",month end portfolio disclosure march 2014 dspbrmf portfolios as on mar 31 2014,,,,,{},2026-08-21 21:14:14.563491+00:00,2026-08-21 21:14:14.563491+00:00
854e7d7f-4d0e-4d3f-bea2-97ea713f7d8f,,,Instrument level Portfolio/Factsheet Open ended Nov 2019,instrument level portfolio factsheet open ended nov 2019,,,,,{},2026-08-21 21:14:32.952200+00:00,2026-08-21 21:14:32.952200+00:00
d4b41808-bdfc-4788-9b22-c4fac2909385,,,Instrument level Portfolio/Factsheet Close ended Nov 2019,instrument level portfolio factsheet close ended nov 2019,,,,,{},2026-08-21 21:14:32.952200+00:00,2026-08-21 21:14:32.952200+00:00
f2d09f3b-9ce7-4876-a02a-20a5f6601174,,,Derivatives Disclosure & Factsheet Notes Table_March_2025,derivatives disclosure factsheet notes table march 2025,,,,,{},2026-08-21 21:14:46.293872+00:00,2026-08-21 21:14:46.293872+00:00
2bc3f3f9-40f9-4977-9cea-b959758f42a2,,,Half Yearly Portfolio_March 2025,half yearly portfolio march 2025,,,,,{},2026-08-21 21:14:46.293872+00:00,2026-08-21 21:14:46.293872+00:00
b89695c0-e56f-4b87-8df9-ac335da42f25,,,portfolio/Factsheet Closed ended Jan2015 without dates,portfolio factsheet closed ended jan2015 without dates,,,,,{},2026-08-21 21:14:48.601174+00:00,2026-08-21 21:14:48.601174+00:00
31bd699f-7350-4030-9476-8b3be39ed8fc,,,portfolio/Factsheet open ended Jan15,portfolio factsheet open ended jan15,,,,,{},2026-08-21 21:14:48.601174+00:00,2026-08-21 21:14:48.601174+00:00
7eab5f48-0f0f-48f8-87c3-4a9455454708,,,PPLF,pplf,,,,,{},2026-08-21 21:53:34.882872+00:00,2026-08-21 21:53:34.882872+00:00
646d8ef3-03fa-43e8-8dec-4f4eb638210c,,,DSP Government Securities Fund,dsp government securities fund,,,,,{},2026-08-21 21:53:51.679538+00:00,2026-08-21 21:53:51.679538+00:00
9c2c7293-3cb9-4dde-b834-220990d0fc56,,,SR 264 - 60M - 17D,sr 264 60m 17d,,,,,{},2026-08-21 21:53:51.679538+00:00,2026-08-21 21:53:51.679538+00:00
c280dee4-2813-4e8b-8f66-240ebce126ab,,,Income Plus Arbitrage FOF,income plus arbitrage fof,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
f1c6f3aa-b829-4406-a6f8-03734bf4a16f,,,DSP Banking and PSU Debt Fund,dsp banking and psu debt fund,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
bcdfc686-5907-43dd-8412-1158d4f21d83,,,DSP NIFTY 1D Rate Liquid ETF,dsp nifty 1d rate liquid etf,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
b3236eec-7dcc-4192-8025-4d413fbde918,,,DSP BSE Liquid Rate ETF,dsp bse liquid rate etf,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
e0a672f6-40f3-453f-ab57-9c3633fa4d5a,,,US Debt Passive FoF,us debt passive fof,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
f3839e55-9dd9-4e5a-815f-b9125c1200e8,,,FMP Series 270-1144D,fmp series 270 1144d,,,,,{},2026-08-21 21:53:56.898402+00:00,2026-08-21 21:53:56.898402+00:00
